BGN_Frequency,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGN,ABC12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan_Frequency,ABC12345,20.6,21.2,21.8,22.4,23,23.6,24.3,25,25.8,26.5,27.2,28,29,30,30.7,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.7,40,41.2,42.5,43.7,45,46.2,47.5,48.7,50,51.5,53,54.5,56,58,60,61.5,63,65,67,69,71,73,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,103,106,109,112,115,118,122,125,128,132,136,140,145,150,155,160,165,170,175,180,185,190,195,200,206,212,218,224,230,236,243,250,258,265,272,280,290,300,307,315,325,335,345,355,365,375,387,400,412,425,437,450,462,475,487,500,515,530,545,560,580,600,615,630,650,670,690,710,730,750,775,800,825,850,875,900,925,950,975,1000,1030,1060,1090,1120,1150,1180,1220,1250,1280,1320,1360,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2060,2120,2180,2240,2300,2360,2430,2500,2580,2650,2720,2800,2900,3000,3070,3150,3250,3350,3450,3550,3650,3750,3870,4000,4120,4250,4370,4500,4620,4750,4870,5000,5150,5300,5450,5600,5800,6000,6150,6300,6500,6700,6900,7100,7300,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10300,10600,10900,11200,11500,11800,12200,12500,12800,13200,13600,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20600,21200,21800,22400
Fan,ABC12345,33.4,33.69,33.88,34.05,34.22,34.39,34.59,34.8,35.03,35.28,35.54,35.77,35.95,36.05,36.05,35.96,35.8,35.61,35.41,35.23,35.08,34.92,34.73,34.47,34.14,33.74,33.3,32.88,32.5,32.17,31.84,31.46,30.97,30.32,29.5,28.47,27.27,25.92,24.54,23.35,22.6,22.33,22.38,22.56,22.73,22.83,22.86,22.92,23.05,23.3,23.64,24,24.35,24.69,25.02,25.39,25.91,26.77,27.97,29.14,29.95,30.25,29.97,29.05,27.37,24.79,21.26,18.18,14.59,13.19,12.01,11.67,11.51,11.12,10.54,9.7,8.59,7.17,5.49,3.85,2.63,1.86,1.38,1.13,1.1,1.28,1.57,1.88,2.12,2.35,2.63,3.01,3.48,4.02,4.56,5.03,5.41,5.72,5.94,6.02,5.96,5.78,5.54,5.32,5.2,5.25,5.49,5.96,6.66,7.66,8.89,10.17,11.34,12.3,13.05,13.54,13.74,13.64,13.29,12.75,12.14,11.58,11.21,10.99,10.81,10.6,10.51,10.63,10.84,10.95,10.78,10.28,9.41,8.26,7.12,6.37,6.02,5.81,5.66,5.54,5.43,5.46,5.65,5.78,5.68,5.25,4.41,3.83,1.09,-1.23,-2.74,-2.38,-2.07,-1.61,-1.19,-0.9,-0.79,-0.91,-1.22,-1.49,-1.63,-1.61,-1.5,-1.48,-1.68,-2.15,-2.83,-3.48,-3.93,-4.16,-4.12,-3.86,-3.58,-3.42,-3.45,-3.77,-4.42,-5.32,-6.2,-6.71,-6.92,-7.09,-7.25,-7.42,-7.55,-7.63,-7.65,-7.67,-7.68,-7.71,-7.75,-7.79,-7.8,-7.78,-7.75,-7.73,-7.7,-7.67,-7.64,-7.64,-7.63,-7.62,-7.59,-7.55,-7.5,-7.46,-7.43,-7.43,-7.44,-7.43,-7.43,-7.42,-7.41,-7.42,-7.44,-7.48,-7.51,-7.54,-7.56,-7.59,-7.64,-7.68,-7.7,-7.72,-7.73,-7.74,-7.76,-7.77,-7.8,-7.82,-7.83,-7.85,-7.86,-7.87,-7.88,-7.89,-7.89,-7.89,-7.89,-7.91,-7.94,-7.99,-8.12,-8.79
HP_Frequency,ABC12345,20.6,21.2,21.8,22.4,23,23.6,24.3,25,25.8,26.5,27.2,28,29,30,30.7,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.7,40,41.2,42.5,43.7,45,46.2,47.5,48.7,50,51.5,53,54.5,56,58,60,61.5,63,65,67,69,71,73,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,103,106,109,112,115,118,122,125,128,132,136,140,145,150,155,160,165,170,175,180,185,190,195,200,206,212,218,224,230,236,243,250,258,265,272,280,290,300,307,315,325,335,345,355,365,375,387,400,412,425,437,450,462,475,487,500,515,530,545,560,580,600,615,630,650,670,690,710,730,750,775,800,825,850,875,900,925,950,975,1000,1030,1060,1090,1120,1150,1180,1220,1250,1280,1320,1360,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2060,2120,2180,2240,2300,2360,2430,2500,2580,2650,2720,2800,2900,3000,3070,3150,3250,3350,3450,3550,3650,3750,3870,4000,4120,4250,4370,4500,4620,4750,4870,5000,5150,5300,5450,5600,5800,6000,6150,6300,6500,6700,6900,7100,7300,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10300,10600,10900,11200,11500,11800,12200,12500,12800,13200,13600,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20600,21200,21800,22400
HP,ABC12345,34.79,34.14,33.67,33.23,32.78,32.34,31.97,31.72,31.62,31.69,31.86,32.08,32.28,32.43,32.51,32.55,32.55,32.54,32.55,32.58,32.64,32.69,32.7,32.64,32.49,32.28,32.04,31.83,31.66,31.53,31.4,31.2,30.89,30.42,29.77,28.94,27.92,26.77,25.55,24.42,23.53,22.92,22.56,22.32,22.09,21.77,21.33,20.8,20.21,19.63,19.12,18.71,18.39,18.18,18.07,18.09,18.4,19.34,20.83,22.3,23.33,23.79,23.64,22.82,21.27,18.88,15.75,13.27,11.18,11.05,11.69,12.09,12.02,11.94,11.61,11.15,10.75,10.58,10.67,10.9,11.09,11.13,10.92,10.41,9.61,8.64,7.69,6.95,6.56,6.49,6.6,6.74,6.92,7.26,7.73,8.22,8.71,9.2,9.55,9.61,9.32,8.71,7.97,7.52,7.89,9.18,10.72,11.95,12.77,13.38,13.94,14.41,15,16.01,17.26,18.49,19.61,20.52,21.1,21.31,21.22,20.9,20.36,19.58,18.61,17.52,16.23,14.83,13.94,13.81,13.91,13.88,13.7,13.33,12.75,12.19,11.88,11.69,11.4,11.14,11.04,11.07,11.03,11.08,11.46,12.08,12.84,13.22,14.16,14.36,13.97,13.06,12.44,11.07,9.46,8.07,7.18,6.61,6.69,7.65,8.96,10.06,10.66,10.66,9.99,8.58,6.41,3.9,2.1,1.51,1.62,1.69,1.48,0.92,0,-1.27,-2.75,-4.1,-5.04,-5.6,-5.95,-6.15,-6.29,-6.37,-6.37,-6.35,-6.38,-6.5,-6.7,-6.94,-7.18,-7.36,-7.43,-7.44,-7.45,-7.51,-7.59,-7.68,-7.74,-7.76,-7.74,-7.69,-7.64,-7.57,-7.49,-7.41,-7.35,-7.31,-7.31,-7.35,-7.42,-7.48,-7.52,-7.55,-7.56,-7.57,-7.59,-7.61,-7.63,-7.66,-7.7,-7.75,-7.81,-7.86,-7.91,-7.96,-7.98,-7.99,-7.99,-7.98,-7.98,-8.01,-8.04,-8.1,-8.17,-8.24,-8.3,-8.33,-8.33,-8.3,-8.25,-8.18,-8.28,-9.04
HMH_Frequency,ABC12345,20.6,21.2,21.8,22.4,23,23.6,24.3,25,25.8,26.5,27.2,28,29,30,30.7,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.7,40,41.2,42.5,43.7,45,46.2,47.5,48.7,50,51.5,53,54.5,56,58,60,61.5,63,65,67,69,71,73,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,103,106,109,112,115,118,122,125,128,132,136,140,145,150,155,160,165,170,175,180,185,190,195,200,206,212,218,224,230,236,243,250,258,265,272,280,290,300,307,315,325,335,345,355,365,375,387,400,412,425,437,450,462,475,487,500,515,530,545,560,580,600,615,630,650,670,690,710,730,750,775,800,825,850,875,900,925,950,975,1000,1030,1060,1090,1120,1150,1180,1220,1250,1280,1320,1360,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2060,2120,2180,2240,2300,2360,2430,2500,2580,2650,2720,2800,2900,3000,3070,3150,3250,3350,3450,3550,3650,3750,3870,4000,4120,4250,4370,4500,4620,4750,4870,5000,5150,5300,5450,5600,5800,6000,6150,6300,6500,6700,6900,7100,7300,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10300,10600,10900,11200,11500,11800,12200,12500,12800,13200,13600,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20600,21200,21800,22400
HMH,ABC12345,28.66,28.94,29.12,29.29,29.47,29.68,29.97,30.35,30.82,31.35,31.9,32.42,32.84,33.15,33.34,33.42,33.42,33.38,33.32,33.27,33.23,33.18,33.11,33.02,32.89,32.73,32.55,32.35,32.14,31.89,31.57,31.15,30.61,29.92,29.09,28.14,27.13,26.15,25.32,24.8,24.67,24.91,25.34,25.77,26.03,26.03,25.75,25.21,24.45,23.56,22.62,21.64,20.58,19.39,18.09,16.79,15.7,15.05,14.93,15.14,15.38,15.42,15.16,14.56,13.7,12.77,12.1,11.81,11.87,11.96,12.05,12.04,12.03,12.05,12.21,12.67,13.56,14.73,15.85,16.69,17.16,17.26,17.05,16.61,16.06,15.53,15.07,14.6,14.12,13.74,13.62,13.78,14.08,14.38,14.67,14.94,15.29,15.95,17.15,18.92,20.96,22.89,24.53,25.9,27.07,28.14,29.15,30.09,30.96,31.7,32.27,32.63,32.76,32.67,32.34,31.76,30.93,29.9,28.77,27.67,26.74,26.05,25.49,24.81,23.91,22.91,22.08,21.57,21.32,21.14,20.94,20.69,20.36,19.97,19.49,18.97,18.77,18.95,19.33,19.68,19.76,19.44,18.82,18.1,17.6,17.41,17.3,17.28,16.94,16.74,16.67,17.43,18.37,20,22.72,25.34,27.07,27.98,28.18,27.69,26.49,24.56,22.25,21.05,21.09,21,20.68,20.05,19.02,17.68,16.43,15.58,15.15,15.13,15.6,16.52,17.58,18.46,19,19.13,18.83,18.12,17.19,16.4,16,15.88,15.87,15.91,15.98,16.03,16.02,15.98,16.05,16.26,16.53,16.75,16.81,16.69,16.49,16.43,16.76,17.31,17.69,17.67,17.2,16.3,15.04,13.68,12.64,12.1,11.66,11.15,10.81,10.99,11.59,12.19,12.5,12.38,11.8,10.7,9.14,7.38,6.08,5.54,5.34,5.24,5.18,5.19,4.97,4.75,4.37,4.12,3.96,3.6,3.13,2.61,2.04,1.32,0.55,-0.24,-1.08,-2.14,-3.42,-4.95
HML_Frequency,ABC12345,20.6,21.2,21.8,22.4,23,23.6,24.3,25,25.8,26.5,27.2,28,29,30,30.7,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.7,40,41.2,42.5,43.7,45,46.2,47.5,48.7,50,51.5,53,54.5,56,58,60,61.5,63,65,67,69,71,73,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,103,106,109,112,115,118,122,125,128,132,136,140,145,150,155,160,165,170,175,180,185,190,195,200,206,212,218,224,230,236,243,250,258,265,272,280,290,300,307,315,325,335,345,355,365,375,387,400,412,425,437,450,462,475,487,500,515,530,545,560,580,600,615,630,650,670,690,710,730,750,775,800,825,850,875,900,925,950,975,1000,1030,1060,1090,1120,1150,1180,1220,1250,1280,1320,1360,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2060,2120,2180,2240,2300,2360,2430,2500,2580,2650,2720,2800,2900,3000,3070,3150,3250,3350,3450,3550,3650,3750,3870,4000,4120,4250,4370,4500,4620,4750,4870,5000,5150,5300,5450,5600,5800,6000,6150,6300,6500,6700,6900,7100,7300,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10300,10600,10900,11200,11500,11800,12200,12500,12800,13200,13600,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20600,21200,21800,22400
HML,ABC12345,32.09,32.57,32.87,33.13,33.4,33.67,33.94,34.24,34.55,34.87,35.2,35.48,35.69,35.78,35.75,35.59,35.34,35.03,34.71,34.43,34.19,33.99,33.82,33.68,33.55,33.44,33.33,33.22,33.09,32.91,32.64,32.25,31.71,30.98,30.07,28.99,27.76,26.46,25.17,24.03,23.24,22.9,22.94,23.21,23.55,23.9,24.26,24.65,25.06,25.48,25.86,26.19,26.45,26.63,26.73,26.8,27.02,27.72,28.94,30.23,31.15,31.53,31.31,30.41,28.74,26.14,22.61,19.55,17.02,16.85,17.58,18.3,18.65,19.15,19.38,19.29,18.86,18.15,17.27,16.43,15.85,15.61,15.58,15.58,15.48,15.17,14.62,13.85,12.98,12.24,11.84,11.88,12.39,13.5,15.21,17.08,18.73,20.09,21.18,22.16,23.16,24.21,25.27,26.25,27.13,27.92,28.66,29.38,30.11,30.8,31.36,31.72,31.81,31.59,31.07,30.25,29.2,28.13,27.31,26.88,26.71,26.57,26.26,25.67,24.84,24.01,23.4,23.08,22.87,22.68,22.92,23.78,24.72,25.45,25.8,25.72,25.37,24.87,24.4,24.24,24.25,24.12,23.81,23.28,22.52,21.5,20.06,18.92,16.54,15.57,15.71,17.2,18.8,21.17,23.28,24.74,25.53,25.84,25.8,25.43,24.79,23.94,22.95,21.74,20.03,18.01,16.75,16.45,16.09,15.53,14.94,14.46,14.09,13.71,13.21,12.49,11.38,10.13,9.42,9.52,9.83,9.93,9.75,9.26,8.51,7.7,7.15,6.92,6.83,6.78,6.66,6.39,6.01,5.6,5.33,5.29,5.42,5.56,5.55,5.28,4.77,4.09,3.37,2.69,2.11,1.69,1.39,1.12,0.78,0.31,-0.34,-1.09,-1.74,-2.02,-1.89,-1.59,-1.36,-1.29,-1.37,-1.55,-1.81,-2.12,-2.54,-3.04,-3.62,-4.23,-4.78,-5.06,-5.52,-5.77,-6.14,-6.36,-6.45,-6.63,-6.8,-6.93,-7,-6.99,-6.94,-6.91,-6.87,-7.01,-7.33,-7.62
HT_Frequency,ABC12345,20.6,21.2,21.8,22.4,23,23.6,24.3,25,25.8,26.5,27.2,28,29,30,30.7,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.7,40,41.2,42.5,43.7,45,46.2,47.5,48.7,50,51.5,53,54.5,56,58,60,61.5,63,65,67,69,71,73,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,103,106,109,112,115,118,122,125,128,132,136,140,145,150,155,160,165,170,175,180,185,190,195,200,206,212,218,224,230,236,243,250,258,265,272,280,290,300,307,315,325,335,345,355,365,375,387,400,412,425,437,450,462,475,487,500,515,530,545,560,580,600,615,630,650,670,690,710,730,750,775,800,825,850,875,900,925,950,975,1000,1030,1060,1090,1120,1150,1180,1220,1250,1280,1320,1360,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2060,2120,2180,2240,2300,2360,2430,2500,2580,2650,2720,2800,2900,3000,3070,3150,3250,3350,3450,3550,3650,3750,3870,4000,4120,4250,4370,4500,4620,4750,4870,5000,5150,5300,5450,5600,5800,6000,6150,6300,6500,6700,6900,7100,7300,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10300,10600,10900,11200,11500,11800,12200,12500,12800,13200,13600,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20600,21200,21800,22400
HT,ABC12345,33.14,33.46,33.67,33.86,34.05,34.24,34.44,34.65,34.88,35.12,35.36,35.57,35.74,35.83,35.83,35.75,35.61,35.45,35.29,35.18,35.09,35.04,34.98,34.91,34.8,34.64,34.43,34.17,33.85,33.48,33.07,32.61,32.13,31.59,30.98,30.29,29.48,28.56,27.55,26.52,25.58,24.81,24.28,23.96,23.78,23.69,23.66,23.66,23.69,23.75,23.95,24.53,25.63,27.04,28.38,29.41,30.08,30.52,30.9,31.23,31.43,31.36,30.9,29.89,28.18,25.6,22.06,18.95,15.06,13.47,12.19,11.74,11.49,10.99,10.43,9.88,9.55,9.54,9.73,9.97,10.1,9.98,9.51,8.64,7.41,5.98,4.52,3.16,2.15,1.53,0.97,0.29,-0.5,-1.33,-2.07,-2.56,-2.74,-2.65,-2.38,-1.92,-0.93,0.65,2.31,3.93,5.35,6.33,6.8,6.79,6.35,5.6,4.68,3.79,3.25,3.11,3.26,3.71,4.41,5.18,5.87,7.21,9.07,10.56,11.44,11.68,11.39,10.75,9.98,9.47,9.65,9.99,9.89,9.29,8.28,7.16,6.09,5.12,4.57,4.52,4.68,4.89,5.16,5.61,6.19,7.14,8.35,9.3,9.79,10.11,9.22,8.31,6.5,6.84,7.39,8.18,8.68,8.89,8.91,8.84,8.71,8.52,8.24,7.72,6.85,5.58,3.97,2.34,1.15,0.67,0.73,0.92,0.92,0.67,0.21,-0.29,-0.59,-0.48,0.2,1.24,2.23,2.87,3.04,2.73,1.93,0.63,-1.05,-2.72,-4.02,-4.77,-5.03,-4.83,-4.36,-3.91,-3.66,-3.6,-3.68,-3.86,-4.08,-4.32,-4.55,-4.81,-5.13,-5.42,-5.58,-5.58,-5.48,-5.34,-5.28,-5.38,-5.63,-5.97,-6.28,-6.51,-6.66,-6.69,-6.69,-6.73,-6.85,-7.02,-7.21,-7.36,-7.44,-7.49,-7.54,-7.59,-7.63,-7.67,-7.69,-7.71,-7.68,-7.61,-7.44,-7.29,-7.27,-7.25,-7.3,-7.41,-7.52,-7.6,-7.62,-7.63,-7.64,-7.77,-7.99,-8.3
